iteration , Loss , acc , valLoss , valAcc
1 ,2.8070750889778138 ,0.12528 ,2.648243770599365 ,0.1701
2 ,2.574682598590851 ,0.21418 ,2.440575602054596 ,0.2634
3 ,2.418475455760956 ,0.25604 ,2.3494724464416503 ,0.2889
4 ,2.2669641568660737 ,0.30114 ,2.1236373209953308 ,0.3548
5 ,2.1299266147613527 ,0.34244 ,2.144667627811432 ,0.336
6 ,2.0267506449222563 ,0.38004 ,1.9719151425361634 ,0.4068
7 ,1.934561205148697 ,0.4063 ,1.8339226984977721 ,0.444
8 ,1.8680060987472533 ,0.42718 ,1.8304455709457397 ,0.4384
9 ,1.808590451002121 ,0.44186 ,1.8080708491802215 ,0.4453
10 ,1.7589227962493896 ,0.45512 ,1.824876787662506 ,0.4371
11 ,1.6980223832130432 ,0.47616 ,1.715675767660141 ,0.4775
12 ,1.6521461703777314 ,0.49176 ,1.807723618745804 ,0.4452
13 ,1.6055835087299346 ,0.50098 ,1.5584738612174989 ,0.5131
14 ,1.5718943345546723 ,0.51658 ,1.6728498804569245 ,0.4682
15 ,1.5187885885238648 ,0.53462 ,1.5746491205692292 ,0.5151
16 ,1.4898301017284394 ,0.54204 ,1.5567092275619507 ,0.5179
17 ,1.463464477300644 ,0.55602 ,1.583811447620392 ,0.5169
18 ,1.4352865612506867 ,0.56782 ,1.5566040122509002 ,0.5073
19 ,1.3927221829891205 ,0.58248 ,1.42142644405365 ,0.5729
20 ,1.3722939059734345 ,0.59132 ,1.3732076680660248 ,0.5957
21 ,1.318177442908287 ,0.6116 ,1.4329878175258637 ,0.5641
22 ,1.3005429997444153 ,0.61836 ,1.3053726065158844 ,0.6161
23 ,1.2698459539413451 ,0.63182 ,1.3822171223163604 ,0.5857
24 ,1.2463892823457718 ,0.6438 ,1.2964767789840699 ,0.6384
25 ,1.2162919380664825 ,0.65564 ,1.344094672203064 ,0.6112
26 ,1.1998291351795196 ,0.66116 ,1.3367427670955658 ,0.6104
27 ,1.1770143262147903 ,0.67112 ,1.265714132785797 ,0.6504
28 ,1.1567127707004548 ,0.68012 ,1.1631440526247026 ,0.6842
29 ,1.1377327718734742 ,0.68986 ,1.1480631655454636 ,0.702
30 ,1.127595843076706 ,0.69554 ,1.2626792299747467 ,0.6597
31 ,1.1039246320724487 ,0.70804 ,1.1885004258155822 ,0.6676
32 ,1.101196762442589 ,0.70702 ,1.1375378811359405 ,0.6944
33 ,1.083076676607132 ,0.71578 ,1.2079759526252747 ,0.681
34 ,1.0819278620481492 ,0.71794 ,1.215002915263176 ,0.669
35 ,1.064885836482048 ,0.7246 ,1.2036213839054108 ,0.6748
36 ,1.0536964418888093 ,0.73034 ,1.1121687543392182 ,0.7138
37 ,1.0511004031896591 ,0.73246 ,1.1486631947755814 ,0.6961
38 ,1.043055828690529 ,0.73698 ,1.1086949855089188 ,0.7185
39 ,1.0244444972276687 ,0.74494 ,1.1579263979196548 ,0.6935
40 ,1.0181218638420104 ,0.74902 ,1.0835100102424622 ,0.7259
41 ,1.0085419173240662 ,0.753 ,1.0823392683267594 ,0.7367
42 ,1.008157648086548 ,0.75386 ,1.1959793019294738 ,0.6811
43 ,1.0083576204776763 ,0.75228 ,1.1111960351467132 ,0.7292
44 ,1.0001583143472672 ,0.75904 ,1.142157006263733 ,0.7044
45 ,0.9869440294504166 ,0.76496 ,1.0801496136188506 ,0.7381
46 ,0.9936277871131897 ,0.76364 ,1.1025730955600739 ,0.7281
47 ,0.98252718937397 ,0.76916 ,1.0573501920700072 ,0.746
48 ,0.9791486227512359 ,0.7689 ,1.0790307569503783 ,0.7447
49 ,0.9637816540002823 ,0.77658 ,1.121094022989273 ,0.7247
50 ,0.9664936149120331 ,0.78064 ,1.1001046001911163 ,0.7402
51 ,0.9682379596233368 ,0.78008 ,1.0474918967485427 ,0.7559
52 ,0.9643864361047745 ,0.78124 ,1.1441238605976105 ,0.7225
